Date,Actual,Predicted
2017-03-08 09:53:00,1200.005,1202.92
2017-03-08 09:54:00,1205.877,1205.08
2017-03-08 09:56:00,1206.002,1206.24
2017-03-08 09:57:00,1209.248,1207.3
2017-03-08 09:59:00,1209.229,1208.41
2017-03-08 10:00:00,1206.067,1205.33
2017-03-08 10:08:00,1206.198,1205.38
2017-03-08 10:09:00,1209.997,1208.54
2017-03-08 10:15:00,1208.002,1207.3
2017-03-08 10:17:00,1210.0,1209.17
2017-03-08 10:18:00,1208.003,1207.22
2017-03-08 10:19:00,1208.002,1207.23
2017-03-08 10:20:00,1210.0,1212.77
2017-03-08 10:21:00,1210.0,1209.17
2017-03-08 10:22:00,1212.0,1212.81
2017-03-08 10:23:00,1210.01,1212.67
2017-03-08 10:24:00,1213.264,1213.24
2017-03-08 10:25:00,1210.022,1209.24
2017-03-08 10:27:00,1210.021,1209.19
2017-03-08 10:31:00,1212.0,1211.98
2017-03-08 10:33:00,1211.999,1211.5
2017-03-08 10:34:00,1219.999,1217.23
2017-03-08 10:35:00,1214.0,1213.09
2017-03-08 10:36:00,1218.0,1217.21
2017-03-08 10:38:00,1224.986,1222.77
2017-03-08 10:39:00,1222.216,1222.63
2017-03-08 10:40:00,1222.216,1221.38
2017-03-08 10:41:00,1222.216,1226.01
2017-03-08 10:42:00,1222.216,1221.44
2017-03-08 10:43:00,1222.216,1221.44
2017-03-08 10:44:00,1222.216,1221.4
2017-03-08 10:46:00,1222.216,1221.44
2017-03-08 10:47:00,1222.216,1222.39
2017-03-08 10:48:00,1222.216,1221.5
2017-03-08 10:49:00,1222.217,1221.44
2017-03-08 10:52:00,1224.535,1223.71
2017-03-08 10:53:00,1222.25,1224.24
2017-03-08 10:54:00,1222.216,1221.97
2017-03-08 10:55:00,1219.432,1219.27
2017-03-08 10:57:00,1219.432,1218.62
2017-03-08 10:58:00,1218.439,1217.61
2017-03-08 11:03:00,1218.229,1216.43
2017-03-08 11:10:00,1216.757,1215.98
2017-03-08 11:13:00,1216.55,1216.46
2017-03-08 11:14:00,1215.544,1210.53
2017-03-08 11:15:00,1208.936,1208.17
2017-03-08 11:16:00,1208.939,1208.36
2017-03-08 11:17:00,1197.08,1204.55
2017-03-08 11:25:00,1211.12,1210.34
2017-03-08 11:26:00,1207.731,1206.9
2017-03-08 11:29:00,1216.529,1215.7
2017-03-08 11:36:00,1207.963,1207.19
2017-03-08 11:46:00,1208.535,1208.11
2017-03-08 11:49:00,1208.565,1207.74
2017-03-08 11:50:00,1208.561,1207.8
2017-03-08 11:53:00,1208.5,1207.67
2017-03-08 11:56:00,1208.501,1207.76
2017-03-08 11:57:00,1208.5,1207.69
2017-03-08 11:58:00,1208.5,1207.69
2017-03-08 12:03:00,1203.97,1203.21
2017-03-08 12:08:00,1204.011,1204.88
2017-03-08 12:09:00,1207.0,1206.29
2017-03-08 12:18:00,1204.118,1203.29
2017-03-08 12:20:00,1202.269,1205.45
2017-03-08 12:21:00,1211.869,1211.07
2017-03-08 12:22:00,1211.837,1207.57
2017-03-08 12:26:00,1204.291,1204.12
2017-03-08 12:27:00,1207.99,1209.08
2017-03-08 12:33:00,1207.993,1207.41
2017-03-08 12:35:00,1207.993,1207.19
2017-03-08 12:36:00,1204.511,1207.03
2017-03-08 12:38:00,1207.992,1209.28
2017-03-08 12:39:00,1207.0,1207.65
2017-03-08 12:42:00,1211.488,1210.65
2017-03-08 12:43:00,1205.0,1207.81
2017-03-08 12:44:00,1211.437,1210.77
2017-03-08 12:45:00,1201.002,1204.17
2017-03-08 12:47:00,1201.013,1200.19
2017-03-08 12:53:00,1201.04,1200.27
2017-03-08 13:00:00,1191.663,1197.35
2017-03-08 13:03:00,1198.0,1195.35
2017-03-08 13:05:00,1200.13,1199.66
2017-03-08 13:06:00,1200.11,1199.43
2017-03-08 13:07:00,1200.54,1197.88
2017-03-08 13:08:00,1200.0,1199.34
2017-03-08 13:11:00,1197.027,1196.38
2017-03-08 13:14:00,1201.001,1200.5
2017-03-08 13:17:00,1205.0,1204.33
2017-03-08 13:19:00,1205.709,1204.88
2017-03-08 13:20:00,1205.707,1204.87
2017-03-08 13:21:00,1205.708,1204.9
2017-03-08 13:23:00,1209.319,1207.95
2017-03-08 13:24:00,1206.413,1207.15
2017-03-08 13:26:00,1209.992,1209.26
2017-03-08 13:32:00,1210.0,1209.36
2017-03-08 13:33:00,1209.504,1209.16
2017-03-08 13:35:00,1210.36,1209.53
2017-03-08 13:37:00,1214.569,1216.14
2017-03-08 13:39:00,1214.26,1213.57
2017-03-08 13:41:00,1211.257,1210.42
2017-03-08 13:43:00,1206.37,1205.0
2017-03-08 13:44:00,1211.758,1210.92
2017-03-08 13:45:00,1197.616,1197.11
2017-03-08 13:50:00,1209.759,1208.93
2017-03-08 13:51:00,1209.707,1209.37
2017-03-08 13:55:00,1200.0,1199.33
2017-03-08 13:57:00,1197.602,1196.78
2017-03-08 13:58:00,1197.601,1196.79
2017-03-08 13:59:00,1197.0,1196.68
2017-03-08 14:00:00,1197.0,1196.19
2017-03-08 14:01:00,1197.0,1196.82
2017-03-08 14:02:00,1197.602,1196.74
2017-03-08 14:05:00,1197.602,1196.55
2017-03-08 14:07:00,1204.326,1200.74
2017-03-08 14:08:00,1204.29,1203.78
2017-03-08 14:09:00,1198.001,1197.17
2017-03-08 14:12:00,1200.0,1199.2
2017-03-08 14:14:00,1200.0,1199.34
2017-03-08 14:15:00,1199.183,1198.36
2017-03-08 14:16:00,1199.0,1198.26
2017-03-08 14:18:00,1198.001,1197.33
2017-03-08 14:19:00,1198.0,1197.23
2017-03-08 14:21:00,1203.19,1201.31
2017-03-08 14:23:00,1197.001,1196.74
2017-03-08 14:24:00,1197.001,1196.19
2017-03-08 14:25:00,1202.859,1202.03
2017-03-08 14:28:00,1199.98,1199.98
2017-03-08 14:29:00,1200.0,1199.95
2017-03-08 14:31:00,1197.0,1196.62
2017-03-08 14:32:00,1190.001,1193.64
2017-03-08 14:33:00,1190.103,1189.88
2017-03-08 14:36:00,1186.351,1192.23
2017-03-08 14:37:00,1186.406,1185.66
2017-03-08 14:38:00,1190.0,1192.58
2017-03-08 14:39:00,1196.09,1195.35
2017-03-08 14:40:00,1199.739,1199.11
2017-03-08 14:41:00,1199.627,1198.8
2017-03-08 14:42:00,1188.019,1187.38
2017-03-08 14:43:00,1188.021,1187.36
2017-03-08 14:44:00,1195.018,1194.27
2017-03-08 14:45:00,1194.977,1194.23
2017-03-08 14:46:00,1188.019,1187.32
2017-03-08 14:47:00,1187.989,1185.46
2017-03-08 14:48:00,1181.161,1183.85
2017-03-08 14:49:00,1181.2,1182.95
2017-03-08 14:50:00,1181.2,1183.95
2017-03-08 14:51:00,1181.201,1180.39
2017-03-08 14:53:00,1187.779,1187.25
2017-03-08 15:02:00,1190.0,1188.83
2017-03-08 15:03:00,1190.0,1189.23
2017-03-08 15:04:00,1190.0,1189.27
2017-03-08 15:07:00,1190.0,1189.5
2017-03-08 15:09:00,1192.849,1192.04
2017-03-08 15:10:00,1192.8,1191.15
2017-03-08 15:11:00,1184.954,1187.1
2017-03-08 15:12:00,1184.963,1186.6
2017-03-08 15:13:00,1188.155,1186.01
2017-03-08 15:14:00,1188.15,1187.34
2017-03-08 15:15:00,1188.15,1187.34
2017-03-08 15:16:00,1188.0,1187.24
2017-03-08 15:17:00,1187.0,1186.3
2017-03-08 15:18:00,1182.1,1184.29
2017-03-08 15:19:00,1187.99,1185.96
2017-03-08 15:20:00,1187.0,1186.34
2017-03-08 15:22:00,1180.0,1183.52
2017-03-08 15:23:00,1179.001,1178.5
2017-03-08 15:24:00,1179.0,1178.99
2017-03-08 15:25:00,1179.001,1178.18
2017-03-08 15:26:00,1172.001,1176.21
2017-03-08 15:28:00,1176.19,1175.45
2017-03-08 15:29:00,1172.007,1171.26
2017-03-08 15:30:00,1172.003,1172.94
2017-03-08 15:31:00,1167.001,1173.75
2017-03-08 15:33:00,1172.969,1169.83
2017-03-08 15:34:00,1172.94,1172.21
2017-03-08 15:35:00,1176.1,1173.95
2017-03-08 15:36:00,1180.239,1179.42
2017-03-08 15:37:00,1176.51,1177.19
2017-03-08 15:38:00,1180.227,1179.41
2017-03-08 15:39:00,1180.227,1178.88
2017-03-08 15:42:00,1178.3,1177.53
2017-03-08 15:44:00,1180.227,1179.59
2017-03-08 15:45:00,1180.227,1179.44
2017-03-08 15:46:00,1180.227,1179.44
2017-03-08 15:47:00,1183.0,1184.48
2017-03-08 15:48:00,1183.001,1182.18
2017-03-08 15:49:00,1183.0,1184.61
2017-03-08 15:50:00,1183.001,1185.22
2017-03-08 15:52:00,1183.0,1182.18
2017-03-08 15:53:00,1183.0,1185.76
2017-03-08 15:54:00,1183.0,1182.76
2017-03-08 15:56:00,1183.001,1182.3
2017-03-08 15:57:00,1183.001,1182.25
2017-03-08 15:58:00,1183.001,1182.24
2017-03-08 16:00:00,1183.0,1182.5
2017-03-08 16:01:00,1183.0,1182.66
2017-03-08 16:02:00,1183.0,1182.23
2017-03-08 16:03:00,1182.99,1181.14
2017-03-08 16:04:00,1174.033,1176.79
2017-03-08 16:10:00,1185.979,1185.23
2017-03-08 16:11:00,1182.1,1181.35
2017-03-08 16:12:00,1180.0,1179.26
2017-03-08 16:13:00,1182.1,1180.2
2017-03-08 16:14:00,1182.08,1181.29
2017-03-08 16:15:00,1180.0,1180.34
